BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS
5860.433624,1,561.87,249.5,312.37,0,6000,1990.044998,2161.428274
1727.638449,1,606.11,606.11,0,0,11000,2959.920544,623.656993
578.809679,1,320,0,320,0,1500,1438.910569,190.186542
1205.716678,1,0,0,0,38.325801,1200,29.278671,8242.687678
6593.820644,1,388.66,388.66,0,4621.93458,7000,1624.583114,2503.40234
17.357563,0.909091,244.85,40.21,204.64,0,5000,357.802082,121.523416
81.584711,0.272727,0,0,0,2985.300006,9500,116.569033,164.692136
3.78631,0.636364,133.05,28.2,104.85,0,12000,210.053432,99.533735
42.46443,0.545455,396,0,396,0,1200,725.606194,140.809454
1935.362486,1,4915.6,4515.34,400.26,293.844792,9000,4921.066897,594.756686
134.917202,1,1247.8,1247.8,0,0,16500,1275.229436,171.357189
7069.950386,1,1603.78,1445.14,158.64,5626.004046,11000,4589.873897,1876.262988
8181.251131,1,2258.01,1318.78,939.23,5251.228934,13500,3021.575846,2074.581541
4037.305658,1,45,45,0,104.238064,4500,1073.844885,968.941265
6110.265264,1,0,0,0,2717.253917,6500,1502.205631,2864.380327
9381.255094,1,5100.07,1147.83,3952.24,370.737197,9000,6409.496345,9827.045323
1977.00709,1,1032.04,226.9,805.14,4335.919227,4000,3056.424974,910.707525
1321.47608,1,45.65,45.65,0,495.657934,1800,440.840439,312.560636
1307.717841,1,405.6,405.6,0,0,2400,0,
2329.485768,1,213.34,213.34,0,0,2400,0,
1139.782882,1,0,0,0,120.612912,1200,151.823651,2906.110765
1619.955708,1,739.44,739.44,0,0,6000,417.128532,389.138517
3505.671311,1,0,0,0,1713.984305,4000,0,
4.708041,0.363636,79,0,79,0,7000,217.820198,121.781205
0,0,0,0,0,89.849004,3000,138.021428,
4.875885,0.666667,20,20,0,0,1500,26.487919,60.913577
23.394411,0.272727,1346.28,0,1346.28,0,2000,712.149153,54.79166
3539.801912,1,2823.8,1540.41,1283.39,0,5700,9172.788366,2103.796148
0.62424,0.090909,389.96,0,389.96,0,4500,0,
862.07238,1,0,0,0,920.309805,4000,2236.890255,214.828158
2441.542991,1,808,808,0,959.857263,4000,532.741699,1026.976
408.656365,1,941.64,0,941.64,0,2500,1097.78942,176.610605
4986.400804,1,0,0,0,5439.467563,8000,1241.538024,1439.230899
1246.624558,1,423.7,177.64,246.06,412.399058,2000,577.050373,498.365419
6644.201651,1,4478.75,2721.59,1757.16,7205.520805,9000,10857.94321,2469.571326
156.216753,0.818182,1354.86,585.63,769.23,0,5500,858.976682,108.319927
3393.351236,1,0,0,0,1008.348672,4200,0,
5322.994094,1,2812.2,857.12,1955.08,2510.352951,8500,1509.423237,1834.031569
6458.56209,1,0,0,0,3360.228794,7000,1277.76778,2760.115734
175.341651,0.818182,1508.9,1252.36,256.54,0,5000,1884.227778,136.639824
680.195157,1,1045.57,667.95,377.62,0,3000,552.432305,207.720441
223.763616,0.636364,2309.78,0,2309.78,0,6500,1206.81188,99.372848
1785.626943,1,0,0,0,576.206382,1800,687.691735,2439.136113
54.933231,0.272727,495,0,495,0,7000,1969.845566,147.049952
2662.629852,1,0,0,0,509.023801,3000,932.418855,709.207016
8504.876253,1,6724.26,4100.08,2624.18,1686.599777,17000,1888.756861,2167.446204
1464.324632,1,1174.39,1174.39,0,0,9000,0,
2114.158683,1,5580.85,0,5580.85,0,8500,3564.977774,630.00413
2876.396444,1,0,0,0,998.84867,3200,1065.426905,1412.648089
14224.11541,1,0,0,0,4614.427403,19000,3066.614272,3406.258999
2392.917738,1,12462.44,12462.44,0,0,2800,11628.71557,2000.990921
57.453201,0.75,0,0,0,272.713302,1200,385.853874,84.697292
4245.855092,1,1957.3,1077.3,880,0,5000,1004.35474,1086.428906
11167.23403,1,150.64,150.64,0,8362.154254,17000,2606.059389,2894.077159
69.405545,0.090909,0,0,0,2799.714934,13000,0,
116.654149,0.272727,907,907,0,273.558033,5000,0,
4637.848144,1,1271.12,351.54,919.58,0,5000,1906.032044,3572.279251
24.28497,0.636364,250.6,0,250.6,0,3000,319.762903,173.632006
9354.06045,1,796.33,796.33,0,13748.47131,13000,10664.65866,2600.875721
231.108995,1,440,0,440,0,4000,554.116542,185.091037
1562.633343,1,1330.62,1169.63,160.99,0,2000,1020.783647,709.610053
2494.868559,1,5491.79,1390.5,4101.29,0,17000,1015.311953,615.92402
706.132889,1,897.86,714.52,183.34,586.268966,1200,972.358048,184.524376
19043.13856,1,22009.92,9449.07,12560.85,0,18000,23018.57583,18621.01331
2235.103331,1,720.6,720.6,0,723.308724,2500,1061.292471,689.118919
947.13081,1,197.06,148.66,48.4,0,1000,492.200419,509.384182
764.042156,0.818182,0,0,0,1307.102516,7500,1566.806897,172.959728
5347.814547,1,0,0,0,4002.353384,7000,0,
10598.46777,1,2084.48,1300.48,784,0,21500,3219.621433,3068.125648
2163.678757,1,5779.36,3436.53,2342.83,0,6500,4416.41268,546.439139
3057.400553,1,1025,1025,0,0,7500,698.854095,819.682666
19.354559,0.909091,689.7,0,689.7,0,10000,746.691026,
264.811595,1,28.65,28.65,0,384.26178,9000,1235.630069,194.324456
1108.22253,0.909091,944.96,164.96,780,0,1500,1955.198953,992.652486
906.573724,1,1039.2,80,959.2,103.102091,13500,1855.235407,468.196732
7679.62904,1,4059.93,0,4059.93,555.469352,7000,3685.61062,12854.9397
1523.911458,1,4075.37,3322.28,753.09,0,6500,2254.26002,329.29648
49.206256,1,870.24,0,870.24,0,8000,835.839952,193.011166
13673.07961,1,9792.23,3959.81,5832.42,2444.445738,20000,11717.30794,6042.391629
106.455975,0.636364,2463.12,789.53,1673.59,0,4000,2573.722764,95.342224
119.760904,0.363636,1859.34,0,1859.34,0,20000,3104.275623,288.903628
5837.105453,1,3488.49,3262.25,226.24,3303.1523,7900,0,
1734.510004,1,0,0,0,66.275851,1800,363.474455,2827.997525
2765.748281,1,7283.31,5087.31,2196,0,11000,14373.3929,1058.128452
1046.37041,1,295,295,0,93.579809,1200,439.407082,362.838185
2737.367678,1,0,0,0,429.691164,3000,778.827993,721.798576
4014.818167,1,0,0,0,988.356213,8500,1009.185035,1177.149934
871.568977,1,648.22,115,533.22,0,1200,1110.886425,208.298424
1610.040203,1,557.19,525.64,31.55,0,4000,422.711848,616.005839
114.593817,1,469.98,0,469.98,0,1000,367.109312,86.102479
5800.587339,1,0,0,0,369.950794,6500,1346.365584,1972.526015
823.103926,0.363636,131.64,0,131.64,0,8000,2916.071564,243.199498
595.677343,1,5078.14,4330.53,747.61,1424.442602,15000,4756.654374,241.894073
1128.124563,1,924.6,0,924.6,0,1000,1202.711782,1747.037345
349.441102,1,1975.4,1393.5,581.9,0,4000,1795.012223,167.219681
840.804076,0.666667,0,0,0,3671.777443,4000,3621.266477,193.171404
975.942008,1,10221.35,7141.38,3079.97,1620.685551,10500,10693.49585,347.641073
23.111088,0.363636,300,0,300,0,12500,291.948834,43.452683
2187.732265,0.857143,0,0,0,3905.326256,3000,1423.788603,461.365626
11972.01104,1,5715,4685.54,1029.46,1626.351366,14000,4639.513745,3192.306018
1608.451822,1,0,0,0,205.737165,1800,470.565984,408.799147
1872.926275,1,766.61,766.61,0,1017.120578,2300,0,
2933.240476,1,0,0,0,2040.433925,3000,2431.578544,1739.74883
336.799916,1,3535.8,1614.7,1921.1,0,20000,2814.231227,186.230835
36.236312,0.454545,256.11,0,256.11,0,5300,831.375322,189.036967
903.29781,1,2697.48,150.5,2546.98,0,2500,1686.196344,303.361632
0,0,23,0,23,0,5000,0,
2881.253586,1,117,0,117,17661.49486,4500,17301.83238,931.618475
5.465999,0.090909,196.81,173,23.81,0,12000,0,
117.442684,1,653.73,493,160.73,0,10000,441.588141,136.827952
168.522709,0.818182,2009.05,0,2009.05,0,1200,2612.760497,197.638558
1706.014379,1,147.78,0,147.78,1657.090283,6000,1186.062765,374.595505
874.583247,1,516.54,159.07,357.47,0,900,579.749308,693.894717
861.001207,1,969.56,969.56,0,446.233197,2400,0,
966.251742,1,311.45,311.45,0,955.959749,1500,277.522439,286.299328
38.615644,0.727273,280.4,280.4,0,0,6150,254.392984,55.79974
189.687964,1,66.14,66.14,0,0,6000,0,
40.417255,0.363636,79.2,79.2,0,1631.576375,4000,1647.880773,24.815878
5462.897068,1,1453.32,0,1453.32,0,16500,1382.269127,1755.253802
3983.923705,1,756.54,756.54,0,0,4000,1110.870941,1431.201171
5588.846272,1,3507.35,603.75,2903.6,0,11500,1412.597253,1825.176503
281.170378,0.818182,3163.69,56.8,3106.89,0,8000,2422.911622,187.046284
130.251538,0.909091,1343.19,1082.79,260.4,0,15000,1043.55929,182.429461
1973.814964,1,873,873,0,0,8000,541.722532,762.682834
5698.539876,1,47.55,0,47.55,2039.52804,6000,2976.579866,3463.174962
43.103899,0.454545,370,370,0,0,23000,1212.054219,68.725483
566.546048,0.909091,405.75,313.75,92,1044.651618,2000,1249.835142,313.052687
24.527253,0.909091,261.64,0,261.64,0,4000,376.758504,169.78292
8350.145568,1,1989.28,842.8,1146.48,893.757903,14000,4720.900413,2557.044576
4559.779234,1,10848.5,8208,2640.5,0,7500,9423.715495,2925.275522
2.67713,0.090909,43.39,0,43.39,0,4000,130.107234,29.700051
1570.682346,1,645.32,645.32,0,1665.331678,1800,2591.391006,808.217224
7201.736985,1,987.1,862.1,125,5468.620604,10500,1941.541158,2391.987571
6467.885013,1,1464.14,978.71,485.43,3947.86784,11500,1658.563509,1887.413517
64.080909,0.454545,927,600,327,0,5000,1260.16384,59.04439
5635.860679,1,393.62,153.72,239.9,5933.467329,10000,1919.630466,1731.549385
3670.50596,1,965.5,876.13,89.37,0,7500,1034.932404,941.496383
2458.376257,0.818182,0,0,0,102.275984,7500,4543.63481,647.20869
768.004936,1,336.41,336.41,0,0,6000,947.696134,217.027653
75.647479,0.727273,540,0,540,0,4000,548.967281,48.659935
2.433254,0.181818,36,0,36,0,7500,0,
1121.730896,1,878.52,103.1,775.42,197.648111,1500,542.836917,471.496776
7.56809,0.545455,144.26,67.08,77.18,0,11500,134.710832,75.515008
2053.441598,1,493.85,441.35,52.5,1738.33378,2000,2795.059574,2661.324808
2422.311938,1,4490.69,3456.25,1034.44,188.783221,8500,5763.666926,582.589765
9047.621884,1,11188.62,6099.16,5089.46,0,10000,11994.41815,8517.258683
3061.213971,1,1829.2,1792.7,36.5,0,7000,971.234118,985.954762
41.642389,0.857143,75.99,75.99,0,0,2700,69.163384,99.401747
5431.622968,1,1824.16,1598.56,225.6,0,14500,1508.016452,1370.519926
6571.484039,1,9325.22,9325.22,0,0,8500,11036.72668,1824.680131
28.461629,1,100,100,0,0,4000,125.769169,104.857518
4178.625215,1,1431.89,430.69,1001.2,0,4000,2384.542045,3868.70983
3019.019487,1,2260.41,1356.33,904.08,0,8500,2187.930651,739.224894
1.045584,0.333333,0,0,0,466.643895,1200,1068.581252,25.537
2723.369217,0.909091,10410.49,1158.84,9251.65,0,19500,9695.650901,726.696049
1070.999446,1,990.7,482,508.7,0,1400,505.317328,438.324017
279.608696,1,3034.92,0,3034.92,0,2900,2928.909865,2733.317012
1255.901821,1,1038.81,1038.81,0,1092.634704,5700,1215.454299,422.331098
2229.857287,1,45.65,45.65,0,0,2500,542.7463,628.211031
2363.489077,1,2641.98,1386.3,1255.68,263.884743,3000,1839.928884,1075.456585
4014.388265,1,1189.52,1189.52,0,0,8000,0,
7623.224897,1,300,0,300,2800.728343,12000,1975.974183,1774.584333
3421.571922,1,126.69,42.88,83.81,154.341344,10500,2515.435738,975.504012
48.898611,0.545455,247.09,0,247.09,182.357669,5500,409.594792,69.921472
1874.716289,1,301.1,83,218.1,0,1950,586.974046,1089.040271
3215.511032,0.818182,1112.2,1112.2,0,7616.064965,7200,0,
237.235398,0.636364,2410.07,1670.5,739.57,0,4000,3773.727455,169.879335
1272.927288,1,5350.19,4783.34,566.85,0,8000,5825.602115,318.305326
558.476701,1,630.03,630.03,0,0,5500,426.092563,213.369694
2814.207626,1,3197.24,2080.02,1117.22,0,3000,3574.480603,1328.897516
8.061012,0.363636,133,0,133,0,3000,130.61272,41.436595
435.862142,1,1646.16,1023.42,622.74,0,12000,1055.835407,236.619362
6.390383,1,79.66,0,79.66,0,1500,75.896288,75.967742
9612.21512,1,319.92,0,319.92,13439.5704,12000,10993.89211,2501.560923
7938.559134,1,3677.52,3543.73,133.79,0,12500,2657.856602,1912.298544
2344.478291,1,1041.63,1041.63,0,4003.968939,4000,3033.665478,716.70488
996.48222,1,675.96,0,675.96,0,1000,1851.602411,1382.292833
19.508047,1,193.14,0,193.14,0,2000,220.46377,71.965063
185.640313,1,1703.23,1703.23,0,0,11500,1449.039414,183.298253
5335.302925,1,0,0,0,468.958688,6000,1350.318606,1249.937085
22.189283,0.363636,234.16,0,234.16,0,1500,479.910499,149.977816
5.871769,0.818182,29.68,29.68,0,0,10000,76.943584,75.595199
1049.496471,1,1322.67,1096.71,225.96,774.260436,11000,802.38543,229.655091
5570.190127,1,1607.88,0,1607.88,0,13500,1583.411686,2216.638394
1668.591831,1,0,0,0,1716.941235,1800,2166.981163,568.063083
2224.590946,0.818182,3183,3183,0,0,9000,3823.346244,629.080506
2903.781184,1,3014.23,1340.34,1673.89,103.610197,4500,1350.370286,655.633916
2041.480046,1,7323.38,4944.88,2378.5,191.331735,3000,3792.095079,1737.893866
7755.698607,1,8533.54,4072.76,4460.78,7540.30735,10000,4758.209146,7256.951816
614.263149,0.727273,408.93,74.8,334.13,0,9000,2161.153147,312.343947
8097.334733,1,3999.92,200,3799.92,0,7500,5624.074339,9952.672511
1082.33027,1,2980.46,657.78,2322.68,0,6000,1116.967993,289.439818
2734.66412,1,560.73,560.73,0,0,7500,717.798364,670.049653
80.708806,1,569.9,569.9,0,0,9500,634.000055,92.012927
2554.525229,1,6186.77,6099.08,87.69,1898.690655,10950,11198.92613,608.36886
535.947221,1,4550.81,3016.98,1533.83,438.469118,8500,4317.191232,208.73456
3905.365959,1,150.8,150.8,0,1659.19931,7500,990.524408,989.783286
156.278339,1,1385.1,1005.1,380,0,14000,1280.473571,193.369942
5131.319584,1,32539.78,26547.43,5992.35,0,11500,26652.34432,1971.129435
5265.763713,1,410.24,44.71,365.53,15452.97758,16500,12005.3074,1055.547896
2.564117,0.181818,47.95,47.95,0,0,1500,294.507498,86.245988
1873.084577,1,126.57,126.57,0,181.139378,2100,483.557464,524.426392
32.124999,0.272727,380.89,380.89,0,0,5700,0,
1473.495809,1,414,0,414,0,10500,5863.94034,570.250342
1504.82705,1,2010,630,1380,1189.292764,8500,859.829946,479.831475
7645.108427,1,4693.15,4332.65,360.5,0,13500,4786.64868,1741.158024
1129.33758,1,498.96,0,498.96,72.259355,1000,829.505486,1623.389428
668.956687,1,224.2,148.12,76.08,0,9500,568.336995,272.270427
2302.184366,1,2856.57,922.84,1933.73,0,2500,2914.419813,2173.680619
272.711518,0.818182,0,0,0,682.156051,3000,2755.877257,144.621645
4246.430225,1,0,0,0,9270.408108,7000,6010.525656,1793.262654
2420.761135,1,0,0,0,567.233798,3000,871.713321,609.206784
2935.324966,1,409.63,351.87,57.76,1876.241162,5000,580.13865,1114.588285
83.148283,0.636364,843.34,843.34,0,0,6500,1024.267592,122.850835
5469.851311,1,0,0,0,512.792701,6000,1362.966798,2019.027883
280.142117,1,2236.49,758.52,1477.97,0,10000,1986.838064,233.614975
5790.930626,1,464.51,399.41,65.1,2516.727082,6000,1515.594331,2092.915898
3605.714046,1,1779,1779,0,0,5000,856.05828,761.012234
3992.261885,1,0,0,0,348.834361,4000,1057.678259,1229.820066
41.833264,1,456.36,0,456.36,0,6000,370.996177,163.287618
635.090434,0.818182,5758.71,2252.37,3506.34,0,2900,7943.57021,197.416104
1521.1681,1,245.98,245.98,0,2792.67597,6000,2261.523522,388.258009
5547.092593,1,0,0,0,3298.958165,12000,1786.142816,1351.998523
2503.107213,1,733.9,733.9,0,0,3000,1620.193277,857.535876
191.450711,1,1641.07,1641.07,0,380.972341,500,1583.918811,137.046292
3621.70204,1,674.73,674.73,0,1684.957411,4000,1139.058595,1403.477006
2762.479434,1,2702.47,1526.31,1176.16,0,11000,7596.768364,1013.086448
4338.606862,1,0,0,0,1817.569093,8000,8019.800702,964.118618
388.873921,0.727273,1579.15,1462.35,116.8,0,2700,451.600059,199.955286
9261.310686,1,0,0,0,8603.045938,11000,1933.413908,2576.552758
208.131845,1,2161.38,451.5,1709.88,0,4500,2059.879468,165.05215
169.088238,1,1482.19,446.07,1036.12,0,6000,1289.570234,173.686552
133.911556,1,1446.05,544.45,901.6,0,3500,1364.121036,186.240772
1613.34907,0.909091,0,0,0,1606.322681,4500,312.433361,648.139459
566.908563,1,397.06,303.7,93.36,0,2100,0,
53.208422,1,498.17,459.02,39.15,0,15000,611.606459,162.94308
1329.967543,1,2009.12,1296.68,712.44,1763.794583,2500,2715.972095,956.330023
515.904786,1,5359.02,2399.78,2959.24,0,6000,0,
927.041961,1,0,0,0,402.974164,1000,719.974244,339.553093
1872.767651,1,0,0,0,3394.509419,5500,1151.721386,627.015802
185.396312,1,0,0,0,842.456926,1000,117.542764,137.6915
4823.822993,0.857143,0,0,0,6481.300951,7000,863.62306,1148.631716
994.105777,1,126.2,126.2,0,0,1950,314.302968,417.290247
40.089221,1,225,0,225,0,1500,325.578502,286.122587
0.478714,0.090909,734.97,159,575.97,0,6000,1159.135064,
4732.37354,1,14.95,0,14.95,2173.356068,5700,1289.284068,1172.289863
9206.811696,1,874.98,350,524.98,4653.693195,12500,2055.100879,2199.077716
6719.376505,1,0,0,0,2443.262416,7500,1493.089193,2488.976669
2233.074041,1,445.2,445.2,0,0,8000,1042.991769,579.587654
1867.649838,1,0,0,0,3264.573342,4500,476.162309,401.970276
57.842746,1,689.34,0,689.34,0,1500,453.842413,148.28357
4194.033835,0.727273,2006.87,420.6,1586.27,0,21000,19714.09728,1479.309409
2459.862339,1,678,678,0,927.25167,2500,1926.31853,1933.173023
850.630114,1,0.05,0.05,0,1700.634586,1000,1084.281127,367.409536
353.198215,1,3085.69,3032.97,52.72,0,8500,2690.525687,192.66679
2669.160638,1,0,0,0,142.141325,3000,642.777061,1122.076137
92.440743,0.909091,1080,1080,0,0,6000,1077.058667,169.005281
706.675991,1,2721.16,2417.41,303.75,0,6500,4952.900653,280.821958
361.319366,1,3095.96,1383.56,1712.4,0,14000,4003.782858,197.186568
2324.086254,0.909091,0,0,0,1600.758078,2300,2147.890523,2077.873573
2922.487907,1,71.07,0,71.07,3595.158425,9500,9226.751112,797.250949
98.364739,0.181818,65,0,65,0,1200,718.794328,53.655347
498.208616,1,4786.61,4397.64,388.97,0,9000,3805.669705,163.459999
16.93339,0.454545,174.42,0,174.42,0,2500,347.08638,149.301101
3355.631092,1,242.88,0,242.88,0,13500,6084.115091,890.639118
907.982017,1,216.94,216.94,0,1011.997944,3200,222.02316,300.210049
1132.386178,0.454545,2246.3,2246.3,0,14048.07181,6000,32048.6122,406.790252
1254.6691,1,361.73,361.73,0,198.686744,1500,535.606816,432.68808
80.336636,0.6,330,330,0,0,1800,345.330572,85.297166
260.838885,1,2854.11,1797.96,1056.15,0,9500,2437.332725,176.283228
17.356961,0.454545,390,90,300,0,2000,302.454171,74.667401
1897.672025,1,422.18,422.18,0,0,5500,2961.632199,440.30634
1032.241153,1,1005.52,464.5,541.02,0,3000,1866.265366,237.328382
3536.601227,1,2132.93,959.1,1173.83,5340.016172,11000,8251.146946,834.025674
21.580264,0.909091,284.72,0,284.72,0,5000,344.161416,155.792859
4211.539631,1,0,0,0,455.581546,10500,1288.287239,1164.178674
1732.715258,1,3244.16,2480.85,763.31,0,11500,5674.185857,563.827502
8939.461145,1,2490.17,905.17,1585,5309.949725,9500,3957.017497,4951.58548
36.567901,0.090909,1098.31,1098.31,0,0,4800,0,
41.754778,0.181818,636.15,636.15,0,0,8500,918.414211,57.150516
1937.246177,1,3018.93,1702.62,1316.31,0,5000,3909.837604,444.12429
99.955082,1,1222.97,202.97,1020,0,19500,1142.077891,185.657751
5135.604593,1,110.18,0,110.18,6551.99521,6000,1716.998424,2463.472147
214.896542,0.636364,0,0,0,1192.015721,3000,2298.902197,214.263752
1543.287931,1,0,0,0,36.481832,1800,548.589391,529.340488
601.92037,1,983.77,603.77,380,0,2400,389.411161,219.465695
1261.05733,1,0,0,0,474.429843,1500,866.865018,354.381003
85.285023,0.75,423.24,287,136.24,0,11000,296.01675,134.448872
1903.688611,1,6079.5,4719.5,1360,10227.22894,7300,18552.39489,762.263884
813.068705,1,439.38,439.38,0,727.658311,1200,237.996469,265.708814
1279.325142,1,1207.25,0,1207.25,0,1200,1282.705869,1300.596775
237.669312,1,259.13,259.13,0,0,2300,2680.635587,2503.374595
5747.761139,1,1627.69,0,1627.69,0,5500,2507.704747,7490.453967
7760.940543,1,0,0,0,3423.085934,8000,2845.010795,2459.741299
6388.108487,1,0,0,0,3768.696678,8000,10973.14532,2384.817152
426.372628,1,5749.96,5439.96,310,0,12000,5711.540654,202.73209
8806.866629,1,1490.94,0.02,1490.92,2813.063846,9000,2116.662516,3598.719728
282.934373,0.181818,0,0,0,2333.150712,3000,0,
1128.229387,1,5068.88,3529.88,1539,0,4500,3904.568067,373.931063
2045.541408,1,1067.28,0,1067.28,0,2000,2021.775795,3073.416298
8.520292,0.545455,64.12,64.12,0,0,7000,176.600545,76.462301
11278.95243,1,6855.59,2762.92,4092.67,0,18500,4868.088671,2861.890896
143.443832,0.636364,1631,0,1631,0,2500,2550.799492,157.269321
241.223955,0.909091,180.91,180.91,0,0,1400,802.858576,220.455533
1528.571561,1,0,0,0,172.931118,1600,353.582373,559.030296
12474.72954,1,136.88,0,136.88,515.147607,14000,3519.008859,3430.627754
566.147105,1,0,0,0,187.572355,2000,1177.661577,190.365154
1077.606225,0.727273,343.21,343.21,0,1609.900552,1500,930.328071,3245.693485
1.838084,0.272727,16.5,16.5,0,0,6000,57.595083,67.1925
507.144348,1,5708.18,4584.78,1123.4,0,4000,5589.952268,232.131169
816.82453,0.3,42.3,42.3,0,3967.709973,6000,361.853722,645.320421
1526.506915,1,46.67,46.67,0,0,1800,338.413344,642.547142
7957.017218,1,0,0,0,4909.937494,9000,677.144841,27631.45072
